section,group,name,url,description,tags,stars,last_push,line
Courses,,Lectures,http://cm.dce.harvard.edu/2015/01/14328/publicationListing.shtml,,,,,628
Courses,,Slides,https://cs109.github.io/2014/pages/schedule.html,,,,,629
Courses,,Labs and Assignments,https://cs109.github.io/2014/pages/homework.html,,,,,630
Courses,,2014 Lectures,https://cs109.github.io/2014/,,,,,631
Courses,,2013 Lectures,http://cm.dce.harvard.edu/2014/01/14328/publicationListing.shtml,(Slightly better).,,,,632
Courses,,CS 156,https://work.caltech.edu/telecourse.html,Learning from Data Caltech.,,,,633
Courses,,Lectures,https://work.caltech.edu/lectures.html,,,,,635
Courses,,Homework,https://work.caltech.edu/homeworks.html,,,,,636
Courses,,Textbook,https://work.caltech.edu/textbook.html,,,,,637
Courses,,CS 189,https://www.eecs189.org/,Introduction To Machine Learning UC Berkeley.,,,,638
Courses,,CS 224d,https://cs224d.stanford.edu/,Deep Learning for Natural Language Processing Stanford University.,,,,642
Courses,,Syllabus,https://cs224d.stanford.edu/syllabus.html,,,,,644
Courses,,CS 229r,http://people.seas.harvard.edu/~minilek/cs229r/fall15/index.html,Algorithms for Big Data Harvard University.,,,,646
Courses,,Lectures,http://people.seas.harvard.edu/~minilek/cs229r/fall15/lec.html,(Youtube).,,,,648
Courses,,Assignments,http://people.seas.harvard.edu/~minilek/cs229r/fall15/hmwk.html,,,,,649
Courses,,CS 231n,https://cs231n.stanford.edu/,Convolutional Neural Networks for Visual Recognition Stanford University.,,,,650
Courses,,Lecture Notes,https://cs231n.stanford.edu/syllabus.html,,,,,652
Courses,,Lecture Videos,https://www.youtube.com/watch?v=NfnWJUyUJYU&list=PLkt2uSq6rBVctENoVBg1TpCC7OQi31AlC,,,,,653
Courses,,Github Page,https://cs231n.github.io/,,,,,654
Courses,,CS 287,https://www.cs.berkeley.edu/~pabbeel/cs287-fa13/,Advanced Robotics UC Berkeley.,,,,655
Courses,,Lectures Notes,https://www.cs.berkeley.edu/~pabbeel/cs287-fa13/#syllabus,,,,,657
Courses,,Assignments,https://www.cs.berkeley.edu/~pabbeel/cs287-fa13/#assignments,,,,,658
Courses,,CS 395T,http://www.nr.com/CS395T/,Statistical and Discrete Methods for Scientific Computing University of Texas.,,,,659
Courses,,Lectures and Assignments,http://wpressutexas.net/forum/,,,,,662
Courses,,CS 4780,https://www.cs.cornell.edu/courses/CS4780/2014fa/,Machine Learning Cornell University.,,,,663
Courses,,CS 4786,https://www.cs.cornell.edu/courses/CS4786/2015sp/index.htm,Machine Learning for Data Science Cornell University.,,,,667
Courses,,Assignments,https://www.cs.cornell.edu/courses/CS4786/2015sp/assignments.htm,,,,,673
Courses,,Lectures,https://www.cs.cornell.edu/courses/CS4786/2015sp/lectures.htm,,,,,674
Courses,,CVX 101,https://class.stanford.edu/courses/Engineering/CVX101/Winter2014/info,Convex Optimization Stanford University.,,,,675
Courses,,Textbook,https://web.stanford.edu/~boyd/cvxbook/,,,,,677
Courses,,Lectures and Assignments,https://class.stanford.edu/courses/Engineering/CVX101/Winter2014/courseware/7206c57866504e83821d00b5d3f80793/,,,,,678
Courses,,DS-GA 1008,https://cilvr.cs.nyu.edu/doku.php?id=deeplearning2015:schedule,Deep Learning New York University.,,,,679
